Date Time;Level;Message
2024/11/25 19:44:04;WARNING;I didn't understand. Please say email, news, Gemini or exit.
2024/11/25 19:44:27;INFO;Talk with Gemini.
2024/11/25 19:45:29;WARNING;I didn't understand. Please say email, news, Gemini or exit.
2024/11/25 19:45:51;INFO;Goodbye. THE END.
2024/11/25 20:01:42;WARNING;Google Speech Recognition could not understand audio.
2024/11/25 20:01:47;INFO;Goodbye. THE END.
2024/11/25 20:09:33;INFO;Goodbye. THE END.
2024/11/25 20:10:56;INFO;Goodbye. THE END.
2024/11/25 20:17:35;INFO;Goodbye. THE END.
2024/11/25 20:22:55;INFO;Goodbye. THE END.
2024/11/25 20:45:01;INFO;Talk with Gemini.
2024/11/25 20:45:41;INFO;Get news.
2024/11/25 20:45:54;CRITICAL;ErrorType : ValueError, Error : invalid literal for text2num: 'free'
2024/11/25 20:46:33;INFO;Goodbye. THE END.
2024/11/25 20:48:31;INFO;Get news.
2024/11/25 20:48:50;WARNING;Google Speech Recognition could not understand audio.
2024/11/25 20:49:00;WARNING;Google Speech Recognition could not understand audio.
2024/11/25 20:49:28;WARNING;Google Speech Recognition could not understand audio.
2024/11/25 20:52:02;INFO;Talk with Gemini.
2024/11/25 20:52:35;INFO;Goodbye. THE END.
2024/11/25 21:10:06;INFO;Goodbye. THE END.
2024/11/25 21:12:55;INFO;Talk with Gemini.
2024/11/25 21:13:38;WARNING;I didn't understand. Please say email, news, Gemini or exit.
2024/11/25 21:14:02;INFO;Talk with Gemini.
2024/11/25 21:14:34;INFO;Goodbye. THE END.
2024/11/25 21:18:51;INFO;Read email.
2024/11/25 21:20:57;WARNING;Google Speech Recognition could not understand audio.
2024/11/25 21:21:14;INFO;Write email.
2024/11/25 21:22:40;INFO;Get news.
2024/11/25 21:22:50;CRITICAL;ErrorType : ValueError, Error : invalid literal for text2num: '7'
2024/11/25 21:27:33;INFO;Talk with Gemini.
2024/11/25 21:28:05;INFO;Goodbye. THE END.
2024/11/25 21:59:53;INFO;Talk with Gemini.
2024/11/25 22:00:21;INFO;Goodbye. THE END.
