Date Time;Level;Message
2024/11/24 13:04:29;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:04:31;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:04:35;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:04:47;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:04:51;INFO;Read email.
2024/11/24 13:05:33;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:04;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:08;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:11;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:17;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:22;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:25;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:32;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:38;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:41;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:44;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:49;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:54;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:06:59;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:07:04;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:07:24;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:07:54;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:03;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:10;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:14;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:20;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:35;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:40;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:43;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:47;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:53;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:08:58;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:08;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:15;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:25;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:32;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:41;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:47;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:09:53;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:10:00;WARNING;I didn't understand. Please say email, news, ChatGPT or exit.
2024/11/24 13:16:42;WARNING;I didn't understand. Please say email, news, ChatGPT or exit.
2024/11/24 13:17:17;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:17:30;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:17:34;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:17:40;WARNING;Google Speech Recognition could not understand audio.
2024/11/24 13:17:44;INFO;Write email.
